Group,Area_meters,Area_ha,Beehives,Cattle,cult_meters,cult_ha,DesHouses,DesPrivMills,DesPubMills,Donkeys,FeltFactories,FemaleMonks,Fountain,Goats,GreChuDest,GreChuStanding,Horses,HousesTotal,HousesIntact,ImmFamilies,ImmPop,ChuIntact,Name_Particulare,past_meters,past_ha,Pigs,PlowAnimals,PrivMills,PrivHouseDestr,PubHouseDest,Sheep,Springs,TotalPop,TotNumFamilies,Unused_ha,Unused_meters,vine_meters,vine_ha,Wells,MillsDestroyed,MillsIntact,MillsTotal,Monks,MulberryTrees,NativeFamilies,NativePop,OlivePresses,OliveTrees,RuinedFountains
GR01,24802126.04,2480.212604,0,0,5346911.474,534.6911474,2,0,1,5,0,0,3,200,8,5,2,10,8,7,29.47,7,"Vostizza terra grossa nel di cui Confine ui sono Cumari, e Cachu Zeogolatiui",0,0,0,7,0,0,2,20,0,33.68,8,1836.313202,18363132.02,1092082.546,109.2082546,0,1,4,5,0,2,1,4.21,0,1500,6
GR02,4815986.665,481.5986665,31,3,3742840.187,374.2840187,0,1,1,27,0,0,2,200,2,1,17,18,18,16,67.36,1,Mettocchio del Monasterio di S. Michel Archanggello detto Dimitropulo Mettocchio,1073146.478,107.3146478,0,26,0,0,0,400,0,67.36,16,0,0,0,0,0,2,0,2,0,0,0,0,0,6,0
GR03,5089809.154,508.9809154,0,0,3567053.232,356.7053232,0,0,0,6,0,0,1,0,1,1,0,7,7,0,0,1,Villa Thelopotamo,1522755.866,152.2755866,0,7,0,0,0,0,0,29.47,7,0.00000566,0.0566,0,0,0,0,0,0,0,1,7,29.47,0,0,0
GR04,540283.9335,54.02839335,2,0,117418.991,11.7418991,2,0,0,2,0,0,1,0,0,1,0,5,3,3,12.63,1,Alimocturi Zeogolatio,0,0,0,5,0,0,2,0,0,12.63,3,42.28649425,422864.9425,0,0,0,0,0,0,0,0,0,0,0,0,0
GR05,5265505.366,526.5505366,5,42,1755223.894,175.5223894,0,0,0,16,0,0,2,0,0,1,0,12,12,14,58.94,1,Villa Mirtidi,3510281.472,351.0281472,28,21,0,0,0,0,0,58.94,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR06,5433825.532,543.3825532,4,20,3655929.209,365.5929209,6,0,1,25,0,0,7,640,1,2,0,29,23,15,63.15,2,Villa Tumba,1766003.838,176.6003838,4,19,0,0,6,200,0,67.36,16,-0.01813174,-181.3174,12073.8022,1.20738022,0,1,0,1,0,3,1,4.21,0,2,0
GR07,2537706.854,253.7706854,12,44,1406113.816,140.6113816,13,0,0,14,2,0,4,68,2,2,15,42,29,9,37.89,2,"Villa Eftapites, e Gligori sotto allo stesso Confine",1111475.015,111.1475015,4,26,0,9,4,560,0,54.73,13,0.00000566,0.0566,20117.9655,2.01179655,0,0,2,2,0,125,4,16.84,0,6,0
GR08,6869443.701,686.9443701,0,0,1451020.298,145.1020298,70,0,0,5,0,0,2,60,6,1,8,75,5,0,0,1,Villa Greca Panu e Greca Catu,4226231.445,422.6231445,0,2,0,0,70,140,0,21.05,5,119.2191959,1192191.959,0,0,0,0,0,0,0,39,5,21.05,0,0,0
GR09,3976744.036,397.6744036,8,74,280545.5884,28.05455884,0,1,0,38,1,0,2,260,4,1,15,17,17,4,16.84,1,Villa Aracoua,1806829.348,180.6829348,20,28,1,0,0,530,0,67.36,16,188.93691,1889369.1,0,0,0,1,1,2,0,720,12,50.52,0,0,0
GR10,3026013.517,302.6013517,0,55,767083.8546,76.70838546,10,0,0,7,0,0,4,250,2,1,15,15,5,0,0,1,Villa Bordano,1851581.718,185.1581718,0,7,1,0,10,520,0,16.84,4,40.7347944,407347.944,0,0,0,0,1,1,0,16,4,16.84,0,0,0
